Brand,Link
Daewoo,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/daewoo.png
Dongben,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/dongben.png
Daihatsu,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/daihatsu.png
SsangYong,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/ssangyong.png
Chevrolet,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/chevrolet.png
Thaco,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/thaco.png
Suzuki,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/suzuki.png
Renault,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/renault.png
Acura,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/acura.png
Kia,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/kia.png
Nissan,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/nissan.png
MG,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/mg.png
Isuzu,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/isuzu.png
Mitsubishi,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/mitsubishi.png
Baic,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/baic.png
Hyundai,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/hyundai.png
Honda,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/honda.png
Mazda,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/mazda.png
VinFast,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/vinfast.png
Ford,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/ford.png
Toyota,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/toyota.png
Jaguar,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/jaguar.png
Hino,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/hino.png
Peugeot,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/peugeot.png
Subaru,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/subaru.png
Volkswagen,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/volkswagen.png
Audi,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/audi.png
Mini,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/mini.png
BMW,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/bmw.png
Volvo,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/volvo.png
Mercedes Benz,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/mercedes-benz.png
Jeep,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/jeep.png
Lexus,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/lexus.png
Porsche,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/porsche.png
LandRover,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/landrover.png
Maserati,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/maserati.png
Bentley,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/bentley.png
Lamborghini,https://raw.githubusercontent.com/filippofilip95/car-logos-dataset/master/logos/original/lamborghini.png